,Unnamed: 0,rho_brine,inj_rate,geo_grad,depth_bottom_usdw,depth_top_res,thick_res,perm_res,p_crit,plume_rad,pressure_front_rad
480,480,1020.0,0.25,25,100.0,200.0,50.0,10,0.196,2169.5248407169115,16618.13666728247
481,481,1020.0,0.25,25,100.0,200.0,50.0,50,0.196,3704.626476359341,25167.06840584371
482,482,1020.0,0.25,25,100.0,200.0,50.0,100,0.196,4266.474423355583,28896.262404946177
483,483,1020.0,0.25,25,100.0,200.0,50.0,250,0.196,5086.78032207291,46845.28544008747
484,484,1020.0,0.25,25,100.0,200.0,50.0,500,0.196,5852.601309089836,50190.31084033535
485,485,1020.0,0.25,25,100.0,200.0,50.0,1000,0.196,5852.601309089836,50190.31084033535
486,486,1020.0,0.25,25,100.0,200.0,100.0,10,0.196,2018.40733930441,13498.794137974764
487,487,1020.0,0.25,25,100.0,200.0,100.0,50,0.196,3215.03115606588,23486.362528950376
488,488,1020.0,0.25,25,100.0,200.0,100.0,100,0.196,3837.9231573496336,26967.52430779477
489,489,1020.0,0.25,25,100.0,200.0,100.0,250,0.196,4577.766345139718,40807.87964102915
490,490,1020.0,0.25,25,100.0,200.0,100.0,500,0.196,5852.601309089836,35546.87327492184
491,491,1020.0,0.25,25,100.0,200.0,100.0,1000,0.196,6276.904517930638,30962.42278319926
492,492,1020.0,0.25,25,100.0,200.0,150.0,10,0.196,1946.660560944617,11749.686624564943
493,493,1020.0,0.25,25,100.0,200.0,150.0,50,0.196,2994.376040693835,20452.87183948796
494,494,1020.0,0.25,25,100.0,200.0,150.0,100,0.196,3451.407913135139,25167.06840584371
495,495,1020.0,0.25,25,100.0,200.0,150.0,250,0.196,4419.4425246661085,30962.42278319926
496,496,1020.0,0.25,25,100.0,200.0,150.0,500,0.196,5651.152846817076,25167.06840584371
497,497,1020.0,0.25,25,100.0,200.0,150.0,1000,0.196,6276.904517930638,19085.711635296982
498,498,1020.0,0.25,25,100.0,200.0,200.0,10,0.196,1877.34080585019,11749.686624564943
499,499,1020.0,0.25,25,100.0,200.0,200.0,50,0.196,2889.614557023334,17809.48254945908
500,500,1020.0,0.25,25,100.0,200.0,200.0,100,0.196,3331.1861257020587,20452.87183948796
501,501,1020.0,0.25,25,100.0,200.0,200.0,250,0.196,4419.4425246661085,28896.262404946177
502,502,1020.0,0.25,25,100.0,200.0,200.0,500,0.196,5456.518908009836,21917.44198967878
503,503,1020.0,0.25,25,100.0,200.0,200.0,1000,0.196,6276.904517930638,14467.887363583815
504,504,1020.0,0.25,25,100.0,600.0,50.0,10,0.98,1745.656740968316,10587.117059904034
505,505,1020.0,0.25,25,100.0,600.0,50.0,50,0.98,2690.6032074593363,15506.028326602149
506,506,1020.0,0.25,25,100.0,600.0,50.0,100,0.98,2994.376040693835,17809.48254945908
507,507,1020.0,0.25,25,100.0,600.0,50.0,250,0.98,3704.626476359341,16618.13666728247
508,508,1020.0,0.25,25,100.0,600.0,50.0,500,0.98,3837.9231573496336,13498.794137974764
509,509,1020.0,0.25,25,100.0,600.0,50.0,1000,0.98,4419.4425246661085,8897.34190298462
510,510,1020.0,0.25,25,100.0,600.0,100.0,10,0.98,1564.369117458862,8897.34190298462
511,511,1020.0,0.25,25,100.0,600.0,100.0,50,0.98,2416.6270460594747,11749.686624564943
512,512,1020.0,0.25,25,100.0,600.0,100.0,100,0.98,2690.6032074593363,12594.15621944888
513,513,1020.0,0.25,25,100.0,600.0,100.0,250,0.98,3331.1861257020587,9538.582392420374
514,514,1020.0,0.25,25,100.0,600.0,100.0,500,0.98,3704.626476359341,4577.766345139718
515,515,1020.0,0.25,25,100.0,600.0,100.0,1000,0.98,4419.4425246661085,0.1
516,516,1020.0,0.25,25,100.0,600.0,150.0,10,0.98,1453.5010956062054,8298.750925039123
517,517,1020.0,0.25,25,100.0,600.0,150.0,50,0.98,2331.4094399480146,10225.511164222284
518,518,1020.0,0.25,25,100.0,600.0,150.0,100,0.98,2690.6032074593363,9538.582392420374
519,519,1020.0,0.25,25,100.0,600.0,150.0,250,0.98,3215.03115606588,6731.439262573933
520,520,1020.0,0.25,25,100.0,600.0,150.0,500,0.98,3704.626476359341,1877.34080585019
521,521,1020.0,0.25,25,100.0,600.0,150.0,1000,0.98,4419.4425246661085,0.1
522,522,1020.0,0.25,25,100.0,600.0,200.0,10,0.98,1400.863755015599,7739.972799233259
523,523,1020.0,0.25,25,100.0,600.0,200.0,50,0.98,2169.5248407169115,8897.34190298462
524,524,1020.0,0.25,25,100.0,600.0,200.0,100,0.98,2596.117637920465,7739.972799233259
525,525,1020.0,0.25,25,100.0,600.0,200.0,250,0.98,3215.03115606588,3451.407913135139
526,526,1020.0,0.25,25,100.0,600.0,200.0,500,0.98,3704.626476359341,1079.0248340103788
527,527,1020.0,0.25,25,100.0,600.0,200.0,1000,0.98,4419.4425246661085,0.1
528,528,1020.0,0.25,25,100.0,1000.0,50.0,10,1.7640000000000002,1507.98137476557,8014.555025680014
529,529,1020.0,0.25,25,100.0,1000.0,50.0,50,1.7640000000000002,2018.40733930441,10225.511164222284
530,530,1020.0,0.25,25,100.0,1000.0,50.0,100,1.7640000000000002,2169.5248407169115,9538.582392420374
531,531,1020.0,0.25,25,100.0,1000.0,50.0,250,1.7640000000000002,2596.117637920465,5268.468973509327
532,532,1020.0,0.25,25,100.0,1000.0,50.0,500,1.7640000000000002,2788.396905758903,0.1
533,533,1020.0,0.25,25,100.0,1000.0,50.0,1000,1.7640000000000002,3215.03115606588,0.1
534,534,1020.0,0.25,25,100.0,1000.0,100.0,10,1.7640000000000002,1207.5281412974266,6731.439262573933
535,535,1020.0,0.25,25,100.0,1000.0,100.0,50,1.7640000000000002,1683.136468145602,6731.439262573933
536,536,1020.0,0.25,25,100.0,1000.0,100.0,100,1.7640000000000002,1946.660560944617,3975.886821734759
537,537,1020.0,0.25,25,100.0,1000.0,100.0,250,1.7640000000000002,2331.4094399480146,679.2894631401067
538,538,1020.0,0.25,25,100.0,1000.0,100.0,500,1.7640000000000002,2690.6032074593363,0.1
539,539,1020.0,0.25,25,100.0,1000.0,100.0,1000,1.7640000000000002,3102.8054334306075,0.1
540,540,1020.0,0.25,25,100.0,1000.0,150.0,10,1.7640000000000002,1120.3939502987505,5852.601309089836
541,541,1020.0,0.25,25,100.0,1000.0,150.0,50,1.7640000000000002,1622.7311077993318,4741.633399215751
542,542,1020.0,0.25,25,100.0,1000.0,150.0,100,1.7640000000000002,1877.34080585019,2249.074543240092
543,543,1020.0,0.25,25,100.0,1000.0,150.0,250,1.7640000000000002,2331.4094399480146,0.1
544,544,1020.0,0.25,25,100.0,1000.0,150.0,500,1.7640000000000002,2690.6032074593363,0.1
545,545,1020.0,0.25,25,100.0,1000.0,150.0,1000,1.7640000000000002,3102.8054334306075,0.1
546,546,1020.0,0.25,25,100.0,1000.0,200.0,10,1.7640000000000002,1120.3939502987505,5086.78032207291
547,547,1020.0,0.25,25,100.0,1000.0,200.0,50,1.7640000000000002,1622.7311077993318,3215.03115606588
548,548,1020.0,0.25,25,100.0,1000.0,200.0,100,1.7640000000000002,1946.660560944617,1253.396415380532
549,549,1020.0,0.25,25,100.0,1000.0,200.0,250,1.7640000000000002,2416.6270460594747,0.1
550,550,1020.0,0.25,25,100.0,1000.0,200.0,500,1.7640000000000002,2788.396905758903,0.1
551,551,1020.0,0.25,25,100.0,1000.0,200.0,1000,1.7640000000000002,3215.03115606588,0.1
552,552,1020.0,0.25,25,100.0,1400.0,50.0,10,2.548,1453.5010956062054,7474.679037956332
553,553,1020.0,0.25,25,100.0,1400.0,50.0,50,2.548,1877.34080585019,6970.710712835172
554,554,1020.0,0.25,25,100.0,1400.0,50.0,100,2.548,2018.40733930441,4419.4425246661085
555,555,1020.0,0.25,25,100.0,1400.0,50.0,250,2.548,2331.4094399480146,533.4336321478145
556,556,1020.0,0.25,25,100.0,1400.0,50.0,500,2.548,2596.117637920465,0.1
557,557,1020.0,0.25,25,100.0,1400.0,50.0,1000,2.548,2889.614557023334,0.1
558,558,1020.0,0.25,25,100.0,1400.0,100.0,10,2.548,1163.2114820866102,5268.468973509327
559,559,1020.0,0.25,25,100.0,1400.0,100.0,50,2.548,1564.369117458862,3102.8054334306075
560,560,1020.0,0.25,25,100.0,1400.0,100.0,100,2.548,1877.34080585019,963.1262446506312
561,561,1020.0,0.25,25,100.0,1400.0,100.0,250,2.548,2169.5248407169115,0.1
562,562,1020.0,0.25,25,100.0,1400.0,100.0,500,2.548,2504.828290996109,0.1
563,563,1020.0,0.25,25,100.0,1400.0,100.0,1000,2.548,2788.396905758903,0.1
564,564,1020.0,0.25,25,100.0,1400.0,150.0,10,2.548,1079.0248340103788,4266.474423355583
565,565,1020.0,0.25,25,100.0,1400.0,150.0,50,2.548,1507.98137476557,1564.369117458862
566,566,1020.0,0.25,25,100.0,1400.0,150.0,100,2.548,1810.3659735830984,333.0103464792323
567,567,1020.0,0.25,25,100.0,1400.0,150.0,250,2.548,2169.5248407169115,0.1
568,568,1020.0,0.25,25,100.0,1400.0,150.0,500,2.548,2504.828290996109,0.1
569,569,1020.0,0.25,25,100.0,1400.0,150.0,1000,2.548,2788.396905758903,0.1
570,570,1020.0,0.25,25,100.0,1400.0,200.0,10,2.548,1039.055136762065,3704.626476359341
571,571,1020.0,0.25,25,100.0,1400.0,200.0,50,2.548,1507.98137476557,858.5959932573792
572,572,1020.0,0.25,25,100.0,1400.0,200.0,100,2.548,1810.3659735830984,157.38876829774097
573,573,1020.0,0.25,25,100.0,1400.0,200.0,250,2.548,2169.5248407169115,0.1
574,574,1020.0,0.25,25,100.0,1400.0,200.0,500,2.548,2504.828290996109,0.1
575,575,1020.0,0.25,25,100.0,1400.0,200.0,1000,2.548,2889.614557023334,0.1
576,576,1020.0,0.25,25,100.0,1800.0,50.0,10,3.3320000000000003,1400.863755015599,6276.904517930638
577,577,1020.0,0.25,25,100.0,1800.0,50.0,50,3.3320000000000003,1745.656740968316,5086.78032207291
578,578,1020.0,0.25,25,100.0,1800.0,50.0,100,3.3320000000000003,1877.34080585019,2596.117637920465
579,579,1020.0,0.25,25,100.0,1800.0,50.0,250,3.3320000000000003,2249.074543240092,0.1
580,580,1020.0,0.25,25,100.0,1800.0,50.0,500,3.3320000000000003,2504.828290996109,0.1
581,581,1020.0,0.25,25,100.0,1800.0,50.0,1000,3.3320000000000003,2788.396905758903,0.1
582,582,1020.0,0.25,25,100.0,1800.0,100.0,10,3.3320000000000003,1120.3939502987505,4266.474423355583
583,583,1020.0,0.25,25,100.0,1800.0,100.0,50,3.3320000000000003,1507.98137476557,1745.656740968316
584,584,1020.0,0.25,25,100.0,1800.0,100.0,100,3.3320000000000003,1745.656740968316,228.19013169387085
585,585,1020.0,0.25,25,100.0,1800.0,100.0,250,3.3320000000000003,2092.6661158681363,0.1
586,586,1020.0,0.25,25,100.0,1800.0,100.0,500,3.3320000000000003,2416.6270460594747,0.1
587,587,1020.0,0.25,25,100.0,1800.0,100.0,1000,3.3320000000000003,2690.6032074593363,0.1
588,588,1020.0,0.25,25,100.0,1800.0,150.0,10,3.3320000000000003,1039.055136762065,3331.1861257020587
589,589,1020.0,0.25,25,100.0,1800.0,150.0,50,3.3320000000000003,1453.5010956062054,734.9950299419285
590,590,1020.0,0.25,25,100.0,1800.0,150.0,100,3.3320000000000003,1683.136468145602,0.1
591,591,1020.0,0.25,25,100.0,1800.0,150.0,250,3.3320000000000003,2018.40733930441,0.1
592,592,1020.0,0.25,25,100.0,1800.0,150.0,500,3.3320000000000003,2331.4094399480146,0.1
593,593,1020.0,0.25,25,100.0,1800.0,150.0,1000,3.3320000000000003,2690.6032074593363,0.1
594,594,1020.0,0.25,25,100.0,1800.0,200.0,10,3.3320000000000003,963.1262446506312,2788.396905758903
595,595,1020.0,0.25,25,100.0,1800.0,200.0,50,3.3320000000000003,1453.5010956062054,364.0435815737613
596,596,1020.0,0.25,25,100.0,1800.0,200.0,100,3.3320000000000003,1683.136468145602,0.1
597,597,1020.0,0.25,25,100.0,1800.0,200.0,250,3.3320000000000003,2092.6661158681363,0.1
598,598,1020.0,0.25,25,100.0,1800.0,200.0,500,3.3320000000000003,2416.6270460594747,0.1
599,599,1020.0,0.25,25,100.0,1800.0,200.0,1000,3.3320000000000003,2690.6032074593363,0.1
600,600,1020.0,0.25,25,150.0,200.0,50.0,10,0.098,2169.5248407169115,17809.48254945908
