,rho_brine,inj_rate,geo_grad,depth_bottom_usdw,depth_top_res,thick_res,perm_res,p_crit,plume_rad,pressure_front_rad
0,1040.0,0.25,25,100.0,2400.0,50.0,50.0,9.016,1622.7311077993318,123.96178201141927
1,1040.0,0.25,25,100.0,2400.0,50.0,100.0,9.016,1745.656740968316,0.1
2,1040.0,0.25,25,100.0,2400.0,50.0,150.0,9.016,1877.34080585019,0.1
3,1040.0,0.25,25,100.0,2400.0,50.0,200.0,9.016,2018.40733930441,0.1
4,1040.0,0.25,25,100.0,2400.0,50.0,250.0,9.016,2092.6661158681363,0.1
5,1040.0,0.25,25,100.0,2400.0,50.0,300.0,9.016,2169.5248407169115,0.1
6,1040.0,0.25,25,100.0,2400.0,50.0,350.0,9.016,2169.5248407169115,0.1
7,1040.0,0.25,25,100.0,2400.0,50.0,400.0,9.016,2249.074543240092,0.1
8,1040.0,0.25,25,100.0,2400.0,50.0,450.0,9.016,2249.074543240092,0.1
9,1040.0,0.25,25,100.0,2400.0,50.0,500.0,9.016,2331.4094399480146,0.1
10,1040.0,0.25,25,100.0,2400.0,50.0,550.0,9.016,2331.4094399480146,0.1
11,1040.0,0.25,25,100.0,2400.0,50.0,600.0,9.016,2331.4094399480146,0.1
12,1040.0,0.25,25,100.0,2400.0,50.0,650.0,9.016,2416.6270460594747,0.1
13,1040.0,0.25,25,100.0,2400.0,50.0,700.0,9.016,2416.6270460594747,0.1
14,1040.0,0.25,25,100.0,2400.0,50.0,750.0,9.016,2504.828290996109,0.1
15,1040.0,0.25,25,100.0,2400.0,50.0,800.0,9.016,2504.828290996109,0.1
16,1040.0,0.25,25,100.0,2400.0,50.0,850.0,9.016,2596.117637920465,0.1
17,1040.0,0.25,25,100.0,2400.0,50.0,900.0,9.016,2596.117637920465,0.1
18,1040.0,0.25,25,100.0,2400.0,50.0,950.0,9.016,2596.117637920465,0.1
19,1040.0,0.25,25,100.0,2400.0,50.0,1000.0,9.016,2596.117637920465,0.1
20,1040.0,0.25,25,100.0,2400.0,75.0,50.0,9.016,1507.9813747655699,0.1
21,1040.0,0.25,25,100.0,2400.0,75.0,100.0,9.016,1622.7311077993318,0.1
22,1040.0,0.25,25,100.0,2400.0,75.0,150.0,9.016,1745.656740968316,0.1
23,1040.0,0.25,25,100.0,2400.0,75.0,200.0,9.016,1877.34080585019,0.1
24,1040.0,0.25,25,100.0,2400.0,75.0,250.0,9.016,2018.40733930441,0.1
25,1040.0,0.25,25,100.0,2400.0,75.0,300.0,9.016,2018.40733930441,0.1
26,1040.0,0.25,25,100.0,2400.0,75.0,350.0,9.016,2092.6661158681363,0.1
27,1040.0,0.25,25,100.0,2400.0,75.0,400.0,9.016,2169.5248407169115,0.1
28,1040.0,0.25,25,100.0,2400.0,75.0,450.0,9.016,2249.074543240092,0.1
29,1040.0,0.25,25,100.0,2400.0,75.0,500.0,9.016,2249.074543240092,0.1
30,1040.0,0.25,25,100.0,2400.0,75.0,550.0,9.016,2331.4094399480146,0.1
31,1040.0,0.25,25,100.0,2400.0,75.0,600.0,9.016,2331.4094399480146,0.1
32,1040.0,0.25,25,100.0,2400.0,75.0,650.0,9.016,2331.4094399480146,0.1
33,1040.0,0.25,25,100.0,2400.0,75.0,700.0,9.016,2416.6270460594747,0.1
34,1040.0,0.25,25,100.0,2400.0,75.0,750.0,9.016,2416.6270460594747,0.1
35,1040.0,0.25,25,100.0,2400.0,75.0,800.0,9.016,2416.6270460594747,0.1
36,1040.0,0.25,25,100.0,2400.0,75.0,850.0,9.016,2504.828290996109,0.1
37,1040.0,0.25,25,100.0,2400.0,75.0,900.0,9.016,2504.828290996109,0.1
38,1040.0,0.25,25,100.0,2400.0,75.0,950.0,9.016,2504.828290996109,0.1
39,1040.0,0.25,25,100.0,2400.0,75.0,1000.0,9.016,2504.828290996109,0.1
40,1040.0,0.25,25,100.0,2400.0,100.0,50.0,9.016,1400.863755015599,0.1
41,1040.0,0.25,25,100.0,2400.0,100.0,100.0,9.016,1622.7311077993318,0.1
42,1040.0,0.25,25,100.0,2400.0,100.0,150.0,9.016,1745.656740968316,0.1
43,1040.0,0.25,25,100.0,2400.0,100.0,200.0,9.016,1877.34080585019,0.1
44,1040.0,0.25,25,100.0,2400.0,100.0,250.0,9.016,1946.660560944617,0.1
45,1040.0,0.25,25,100.0,2400.0,100.0,300.0,9.016,2018.40733930441,0.1
